endTime,artistName,trackName,msPlayed;
2020-09-26 21:49,Nea,DIABLO,165882;
2020-09-26 21:51,salem ilese,Mad at Disney,136838;
2020-09-26 21:54,Diplo,Heartless (with Julia Michaels & Morgan Wallen),172973;
2020-09-26 21:59,Hailee Steinfeld,Wrong Direction,248986;
2020-09-26 22:02,blackbear,if i were u (with Lauv),186468;
2020-09-26 22:04,Justin Bieber,Habitual,168200;
2020-09-26 22:08,Ruel,Painkiller,213597;
2020-09-26 22:12,Harry Styles,Falling,240133;
2020-09-26 22:15,Alec Benjamin,Mind Is A Prison,161697;
2020-09-26 22:18,BENEE,Supalonely (Lownely),199308;
2020-09-26 22:23,PARTYNEXTDOOR,BELIEVE IT,183219;
2020-09-26 22:26,Dixie,Be Happy - Remix,191578;
2020-09-26 22:29,Alina Baraz,Off the Grid (feat. Khalid),200303;
2020-09-26 22:33,The Chainsmokers,Takeaway,209880;
2020-09-26 22:36,BROCKHAMPTON,SUGAR (Remix) [feat. Dua Lipa],222008;
2020-09-26 22:37,Conan Gray,Heather,46270;
2020-09-27 09:42,Conan Gray,Heather,151804;
2020-09-27 09:45,keshi,right here,195093;
2020-09-27 09:49,Lukas Graham,Scars,171999;
2020-09-27 09:53,James Arthur,Treehouse (feat. Shotty Horroh),219933;
2020-09-27 09:55,SHY Martin,Nobody Likes Moving On,166646;
2020-09-27 09:59,Maroon 5,Nobody's Love,211253;
2020-09-27 10:02,Russ,3AM,200547;
2020-09-27 10:06,FLETCHER,Bitter,194749;
2020-09-27 10:09,Gavin Haley,The Way I Am,178143;
2020-09-27 10:12,Pop Smoke,Mood Swings (feat. Lil Tjay),213333;
2020-09-27 10:16,Jaden,Falling For You with Justin Bieber,222717;
2020-09-27 10:19,Anne-Marie,Her,177568;
2020-09-27 10:23,Declan J Donovan,Perfectly Imperfect,204085;
2020-09-27 10:26,Sam Smith,How Do You Sleep?,202204;
2020-09-27 10:29,SHY Martin,Are you happy?,157555;
2020-09-27 10:32,Arizona Zervas,NIGHTRIDER,156367;
2020-09-27 10:35,OneRepublic,Better Days,144530;
2020-09-27 10:38,Alaina Castillo,just a boy,185681;
2020-09-27 10:41,Blake Rose,Gone,205462;
2020-09-27 10:45,Major Lazer,Trigger,171986;
2020-09-27 10:48,Boy In Space,Forever Young,211680;
2020-09-27 10:51,SHY Martin,Slow,163547;
2020-09-27 10:53,Lucas Estrada,Blinding Lights,130899;
2020-09-27 10:58,John K,6 months,216937;
2020-09-27 11:01,Juice WRLD,Smile (with The Weeknd),196180;
2020-09-27 11:03,Bryce Vine,La La Land - Acoustic,137195;
2020-09-27 11:06,Alec Benjamin,Six Feet Apart,173705;
2020-09-27 11:10,Boy In Space,u n eye,162775;
2020-09-27 11:12,SHY Martin,can I call you back?,153058;
2020-09-27 11:16,Billie Eilish,my future,208155;
2020-09-27 11:20,Rhys Lewis,No Right To Love You,238066;
2020-09-27 11:24,Why Don't We,What Am I,184665;
2020-09-27 11:27,Clinton Kane,i don't want to watch the world end with someone else,184505;
2020-09-27 11:30,Aaron Carpenter,Chase,198498;
2020-09-27 11:33,Alex Holtti,Cold Hearted,206026;
2020-09-27 11:37,Selena Gomez,Crowded Room (feat. 6LACK),186459;
2020-09-27 11:41,The Weeknd,Scared To Live,191306;
2020-09-27 11:43,Fiji Blue,Space Makes Me Sad,136419;
2020-09-27 11:45,Curtis Waters,The feelings tend to stay the same,148617;
2020-09-27 11:48,Gavin Haley,The World Keeps Spinning On,186014;
2020-09-27 11:52,Camila Cabello,Easy,194686;
2020-09-27 11:55,BENEE,Glitter,180146;
2020-09-27 11:59,Sasha Alex Sloan,Lie,209131;
2020-09-27 12:02,Julia Michaels,17,182800;
2020-09-27 12:29,Tate McRae,stupid,172915;
2020-09-27 12:32,Trevor Daniel,Past Life (with Selena Gomez),186480;
2020-09-27 12:36,Madison Beer,Selfish,223270;
2020-09-27 12:39,Sam Fischer,This City,194853;
2020-09-27 12:43,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687;
2020-09-27 12:45,Bazzi,Young & Alive,160465;
2020-09-27 12:49,Ariana Grande,Stuck with U (with Justin Bieber),228482;
